FID,OBJECTID,SHAPE,ID,PLZ,ORT,STRASSE,STANDORT,TYP,OBJEKTTITEL,VULGONAMEN,BIOGR_ANGABEN,INSCHRIFT,BESCHREIBUNG,MATERIAL,ENTSTEHUNG,EPOCHE,KUENSTLER,GESCHICHTE,LITERATURQUELLEN,SE_ANNO_CAD_DATA
KUNSTWERKOGD.3620594,3620594,POINT (16.43055636654544 48.27562187786465),109131,1210,Wien,Marischkapromenade bei 13 / Tauschekstraße,"Beim Gaswerkpark
Urpsünglich: 21., Pfendlergasse 1",Denkmäler,"Denkmal ""Unseren Toten Freunden 1934-1945""",,,Unseren Toten Freunden 1934 - 1945,Das Relief ist in Sgraffito Technik mit einer roten und gelben Putzschicht ausgeführt.,"Beton, Inschrift: Messing",(Versetzung 2022),12 Nach 1945,Heribert POTUZNIK,"Das Denkmal ""Unseren Toten Freunden 1934-1945"" wurde am 20. September 1951 auf dem Gelände des Gaswerk Leopoldau in Wien 21., Pfendlergasse 1 enthüllt. Das von Heribert Potuznik gestaltete Denkmal nennt keine Namen oder weitere Informationen, es kommt allein mit der Inschrift und den Jahreszahlen aus, die unter der Darstellung einer trauernden Frau (Sgrafitto) Bezug zu jene ehemaligen Mitarbeitenden des Gaswerks nimmt, die Opfer des Austrofaschimus bzw. des Nationalsozialismus wurden.
Das Denkmal wurde von Angehörigen des Gaswerks Leopoldau gestiftet, auf dessen Flächen es noch Jahrezehnte nach der Auflösung des Werks in den 1970er Jahren stand. Erst im Zuge der Umgestaltung und Errichtung von Wohnbauten wurde das Denkmal 2022 restauriert und auf öffentlichen Grund beim neuen Gaswerkpark versetzt.","Dokumentationsarchiv des Österreichischen Widerstandes [Hg.]: Gedenken und Mahnen in Wien 1934-1945. Gedenkstätten zu Widerstand und Verfolgung, Exil, Befreiung. Eine Dokumentation. Wien: Deuticke 1998, S. 434
https://www.geschichtewiki.wien.gv.at/Denkmal_Unseren_Toten_Freunden_1934-1945",
KUNSTWERKOGD.3620595,3620595,POINT (16.280254549571197 48.25413909865632),109132,1170,Wien,"Promenadeweg, bei der Waldandacht","im Wald, Weg in direkter Verlängerung des Promenadewegs",Sakrale Kleindenkmäler,Marienstatue,,,,"Mariensäule bei der Waldandacht. Säule auf runder Basis, kantiges Würfelkapitell. Moderne Marienstatue, schöner Faltenwurf des Gewandes. Maria und Kind tragen Kronen auf dem Haupt. Eine Wallfahrt bestand hier seit 1869, die Säule soll nach 1881 errichtet worden sein, die Kapelle 1931.",,nach 1881,,,,"Westerhoff, S. 59.",
KUNSTWERKOGD.3620596,3620596,POINT (16.33725225181941 48.22966382474892),109137,1180,Wien,Lazaristengasse 14,,Gedenktafeln,Alfred Cossmann - Gedenktafel,,,Dem grossen Künstler und Menschen / Alfred Cossmann / Wiedererwecker des Kupferstiches / geb. 1870 gest. 1951 / er wohnte und schuf in diesem Hause / von 1913 bis zu seinem Tode / die Alfred Cossmanngesellschaft Wien / MCMLIV,,Bronzerelief (Arnold Hartig) auf Marmortafel,,12 Nach 1945,,,"Die Weltpresse, 15.09.1954, S. 14",
KUNSTWERKOGD.3620597,3620597,POINT (16.333450639573286 48.18235908399256),109139,1120,Wien,Arndtstraße 82,,Gedenktafeln,Fritz Stüber-Gunther - Gedenktafel,,,In diesem Hause wurde der / Wiener Volksschriftsteller / Fritz Stüber-Gunther / am 22. März 1872 geboren.,,Marmor,,11 Zwischenkriegszeit und 2. Weltkrieg,,,"Arbeiter Zeitung, 23.06.1924, S. 3 sowie Reichspost, 12.06.1924, S. 4.",
KUNSTWERKOGD.3620598,3620598,POINT (16.35816928300188 48.210765024041706),109141,1010,Wien,"Rathaus, Friedrich-Schmidt-Platz 1","mittlerer Turm, Freitreppe",Gedenktafeln,Hildegard Burjan - Gedenktafel,,,"Zum Gedenken an / Hildegard Burjan / (1883 - 1933) / Mitglied des provisorischen Gemeinderates / von Dezember 1918 bis Mai 1919, / Gründerin der Caritas Socialis, / seelig gesprochen am 29. Jänner 2012. / Stark sozial engagiert wirkte sie innovativ, mutig und mit wachem Blick / für die Nöte der Menschen. / Wien, im Mai 2017",,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620599,3620599,POINT (16.3862438349281 48.2144195103648),109142,1020,Wien,Czerningasse 7,,Gedenktafeln,Alfred Adler - Gedenktafel,,,In diesem Hause / lebte und wirkte / Alfred Adler / geb: 7.2.1870 gest: 28.5.1937 / Begründer der / Individual- / psychologie,,Stein,1985,12 Nach 1945,,,,
KUNSTWERKOGD.3620600,3620600,POINT (16.377279401509245 48.20904125881514),109143,1010,Wien,Sonnenfelsgasse 19,,Gedenktafeln,Gottfried Wilhelm Leibniz - Gedenktafel,,,"Erster Vorschlag für eine / Akademie der Wissenschaften in Wien / durch / Gottfried Wilhelm Leibniz / 1646 - 1716 / Philosoph, Mathematiker, Physiker, Theologe, Geologe, / Techniker, Philologe, Jurist, Historiker und Diplomat",,Stein,,,,,,
KUNSTWERKOGD.3620601,3620601,POINT (16.377279401509245 48.20904125881514),109144,1010,Wien,Sonnenfelsgasse 19,,Gedenktafeln,Ulrich Zwingli - Gedenktafel,,,Ulrich Zwingli / Reformator von Kirche und Gesellschaft / studierte 1498/99 u. 1500 in Wien,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620602,3620602,POINT (16.377279401509245 48.20904125881514),109145,1010,Wien,Sonnenfelsgasse 19,,Gedenktafeln,Konrad Grebel - Gedenktafel,,,Konrad Grebel / studierte von 1515 bis 1518 in Wien / Als erster Glaubenstäufer der Neuzeit / wurde er zu einem Vorläufer / der freikirchlichen Bewegung.,,Stein,,12 Nach 1945,,,,
KUNSTWERKOGD.3620603,3620603,POINT (16.35995284852891 48.189779589962896),109147,1050,Wien,Castelligasse 1,,Gedenktafeln,Gründung der Arbeiterjugend - Gedenktafel,,,"Am 4. November 1894 / schlossen sich in diesem Haus / die Mitglieder der Jugendgruppen / ""Bücherskorpion"" und ""Jugendbund"" / zum / ""Verein jugendlicher Arbeiter"" / der ersten sozialistischen Jugendbewegung / Österreichs zusammen. / Sozialistische Jugend Österreichs / sozialistische Fraktion der / österreichischen Gewerkschaftsjugend / November 1964",,Kupfer/Bronze,1964,12 Nach 1945,,,,
